 ZONE T="dp=0kPa"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE ) 
 1.016300000E-001 1.212960997E-001
 1.016400000E-001 1.237117804E-001
 1.016500000E-001 1.206519182E-001
 1.016600000E-001 1.190414644E-001
 1.016700000E-001 1.185583282E-001
 1.016800000E-001 1.208129636E-001
 1.016900000E-001 1.132438307E-001
 1.017000000E-001 1.138880122E-001
 1.017100000E-001 1.138880122E-001
 1.017200000E-001 1.134048760E-001
 1.017300000E-001 1.150153299E-001
 1.017400000E-001 1.142101030E-001
 1.017500000E-001 1.074461969E-001
 1.017600000E-001 1.097008323E-001
 1.017700000E-001 1.066409700E-001
 1.017800000E-001 1.108281499E-001
 1.017900000E-001 1.048694708E-001
 1.018000000E-001 1.074461969E-001
 1.018100000E-001 1.108281499E-001
 1.018200000E-001 1.013264724E-001
 1.018300000E-001 1.045473801E-001
 1.018400000E-001 1.008433363E-001
 1.018500000E-001 9.730033789E-002
 1.018600000E-001 1.005212455E-001
 1.018700000E-001 9.585092945E-002
 1.018800000E-001 9.391838487E-002
 1.018900000E-001 9.375733949E-002
 1.019000000E-001 9.536779331E-002
 1.019100000E-001 9.134165876E-002
 1.019200000E-001 9.198584029E-002
 1.019300000E-001 9.343524873E-002
 1.019400000E-001 9.166374952E-002
 1.019500000E-001 8.554402500E-002
 1.019600000E-001 9.085852261E-002
 1.019700000E-001 8.844284188E-002
 1.019800000E-001 8.538297962E-002
 1.019900000E-001 8.425566194E-002
 1.020000000E-001 8.683238806E-002
 1.020100000E-001 8.022952738E-002
 1.020200000E-001 8.055161815E-002
 1.020300000E-001 8.248416274E-002
 1.020400000E-001 7.797489203E-002
 1.020500000E-001 7.733071050E-002
 1.020600000E-001 7.539816591E-002
 1.020700000E-001 7.104994058E-002
 1.020800000E-001 7.781384665E-002
 1.020900000E-001 7.668652897E-002
 1.021000000E-001 7.362666670E-002
 1.021100000E-001 7.539816591E-002
 1.021200000E-001 6.927844137E-002
 1.021300000E-001 7.330457593E-002
 1.021400000E-001 7.072784981E-002
 1.021500000E-001 6.895635060E-002
 1.021600000E-001 6.976157751E-002
 1.021700000E-001 6.766798754E-002
 1.021800000E-001 6.509126141E-002
 1.021900000E-001 6.187035375E-002
 1.022000000E-001 5.977676377E-002
 1.022100000E-001 6.170930837E-002
 1.022200000E-001 5.671690149E-002
 1.022300000E-001 5.768317379E-002
 1.022400000E-001 5.703899225E-002
 1.022500000E-001 5.768317379E-002
 1.022600000E-001 5.478435689E-002
 1.022700000E-001 4.785940539E-002
 1.022800000E-001 5.252972152E-002
 1.022900000E-001 5.204658537E-002
 1.023000000E-001 5.333494843E-002
 1.023100000E-001 4.930881385E-002
 1.023200000E-001 4.109549927E-002
 1.023300000E-001 4.721522386E-002
 1.023400000E-001 4.576581541E-002
 1.023500000E-001 4.383327080E-002
 1.023600000E-001 4.318908927E-002
 1.023700000E-001 4.157863543E-002
 1.023800000E-001 3.835772775E-002
 1.023900000E-001 4.012922697E-002
 1.024000000E-001 3.755250083E-002
 1.024100000E-001 4.351118003E-002
 1.024200000E-001 3.529786545E-002
 1.024300000E-001 3.690831929E-002
 1.024400000E-001 3.078859469E-002
 1.024500000E-001 3.143277623E-002
 1.024600000E-001 3.256009392E-002
 1.024700000E-001 3.336532084E-002
 1.024800000E-001 2.466887008E-002
 1.024900000E-001 3.207695777E-002
 1.025000000E-001 2.611827854E-002
 1.025100000E-001 2.402468854E-002
 1.025200000E-001 2.788977777E-002
 1.025300000E-001 2.933918623E-002
 1.025400000E-001 2.209214393E-002
 1.025500000E-001 2.128691701E-002
 1.025600000E-001 2.177005316E-002
 1.025700000E-001 2.386364316E-002
 1.025800000E-001 1.468405623E-002
 1.025900000E-001 2.402468854E-002
 1.026000000E-001 1.774391854E-002
 1.026100000E-001 1.339569315E-002
 1.026200000E-001 1.532823777E-002
 1.026300000E-001 1.242942084E-002
 1.026400000E-001 7.759104667E-003
 1.026500000E-001 1.017478545E-002
 1.026600000E-001 1.210733007E-002
 1.026700000E-001 7.114923126E-003
 1.026800000E-001 8.242240823E-003
 1.026900000E-001 7.759104667E-003
 1.027000000E-001 1.478334637E-003
 1.027100000E-001 8.081195438E-003
 1.027200000E-001 5.021333117E-003
 1.027300000E-001 -1.581527689E-003
 1.027400000E-001 2.122516179E-003
 1.027500000E-001 -3.836163088E-003
 1.027600000E-001 -4.802435403E-003
 1.027700000E-001 -3.514072317E-003
 1.027800000E-001 -7.540206962E-003
 1.027900000E-001 -3.514072317E-003
 1.028000000E-001 -8.345433891E-003
 1.028100000E-001 -3.836163088E-003
 1.028200000E-001 -4.963480789E-003
 1.028300000E-001 -1.414306779E-002
 1.028400000E-001 -9.150660821E-003
 1.028500000E-001 -9.633796979E-003
 1.028600000E-001 -1.639770320E-002
 1.028700000E-001 -1.510934011E-002
 1.028800000E-001 -1.784711167E-002
 1.028900000E-001 -1.543143088E-002
 1.029000000E-001 -1.768606629E-002
 1.029100000E-001 -1.816920245E-002
 1.029200000E-001 -1.849129322E-002
 1.029300000E-001 -1.897442938E-002
 1.029400000E-001 -2.106801940E-002
 1.029500000E-001 -2.380579097E-002
 1.029600000E-001 -2.187324633E-002
 1.029700000E-001 -2.171220095E-002
 1.029800000E-001 -2.686565332E-002
 1.029900000E-001 -2.670460793E-002
 1.030000000E-001 -2.589938100E-002
 1.030100000E-001 -2.847610718E-002
 1.030200000E-001 -3.234119647E-002
 1.030300000E-001 -2.702669870E-002
 1.030400000E-001 -3.507896805E-002
 1.030500000E-001 -3.330746879E-002
 1.030600000E-001 -4.007137505E-002
 1.030700000E-001 -4.103764738E-002
 1.030800000E-001 -3.781673963E-002
 1.030900000E-001 -3.668942192E-002
 1.031000000E-001 -3.813883040E-002
 1.031100000E-001 -4.184287431E-002
 1.031200000E-001 -3.991032966E-002
 1.031300000E-001 -4.168182892E-002
 1.031400000E-001 -4.570796361E-002
 1.031500000E-001 -4.619109977E-002
 1.031600000E-001 -4.248705586E-002
 1.031700000E-001 -4.941200753E-002
 1.031800000E-001 -4.892887136E-002
 1.031900000E-001 -4.731841749E-002
 1.032000000E-001 -5.198873373E-002
 1.032100000E-001 -5.134455218E-002
 1.032200000E-001 -5.102246140E-002
 1.032300000E-001 -5.279396067E-002
 1.032400000E-001 -5.810845847E-002
 1.032500000E-001 -5.456545994E-002
 1.032600000E-001 -5.359918761E-002
 1.032700000E-001 -5.682009537E-002
 1.032800000E-001 -5.794741308E-002
 1.032900000E-001 -5.698114076E-002
 1.033000000E-001 -6.004100313E-002
 1.033100000E-001 -6.149041162E-002
 1.033200000E-001 -6.503341017E-002
 1.033300000E-001 -6.825431794E-002
 1.033400000E-001 -6.664386405E-002
 1.033500000E-001 -6.567759172E-002
 1.033600000E-001 -7.066999877E-002
 1.033700000E-001 -6.793222716E-002
 1.033800000E-001 -7.517926965E-002
 1.033900000E-001 -7.389090654E-002
 1.034000000E-001 -7.228045265E-002
 1.034100000E-001 -7.034790799E-002
 1.034200000E-001 -6.841536333E-002
 1.034300000E-001 -7.678972354E-002
 1.034400000E-001 -7.759495049E-002
 1.034500000E-001 -7.356881576E-002
 1.034600000E-001 -8.307049371E-002
 1.034700000E-001 -8.146003982E-002
 1.034800000E-001 -7.968854054E-002
 1.034900000E-001 -8.693558306E-002
 1.035000000E-001 -8.516408378E-002
 1.035100000E-001 -8.693558306E-002
 1.035200000E-001 -8.886812773E-002
 1.035300000E-001 -8.645244689E-002
 1.035400000E-001 -8.661349228E-002
 1.035500000E-001 -8.564721994E-002
 1.035600000E-001 -8.725767384E-002
 1.035700000E-001 -9.305530786E-002
 1.035800000E-001 -8.919021851E-002
 1.035900000E-001 -8.983440007E-002
 1.036000000E-001 -9.257217169E-002
 1.036100000E-001 -9.015649085E-002
 1.036200000E-001 -9.659830644E-002
 1.036300000E-001 -9.579307949E-002
 1.036400000E-001 -9.740353339E-002
 1.036500000E-001 -1.040063944E-001
 1.036600000E-001 -9.820876034E-002
 1.036700000E-001 -1.009465320E-001
 1.036800000E-001 -1.015907135E-001
 1.036900000E-001 -1.009465320E-001
 1.037000000E-001 -1.027180313E-001
 1.037100000E-001 -1.025569859E-001
 1.037200000E-001 -1.033622128E-001
 1.037300000E-001 -1.022348951E-001
 1.037400000E-001 -1.072273022E-001
 1.037500000E-001 -1.073883476E-001
 1.037600000E-001 -1.078714837E-001
 1.037700000E-001 -1.089988015E-001
 1.037800000E-001 -1.093208923E-001
 1.037900000E-001 -1.091598469E-001
 1.038000000E-001 -1.102871646E-001
 1.038100000E-001 -1.156016625E-001
 1.038200000E-001 -1.125418001E-001
 1.038300000E-001 -1.138301632E-001
 1.038400000E-001 -1.165679348E-001
 1.038500000E-001 -1.191446611E-001
 1.038600000E-001 -1.193057065E-001
 1.038700000E-001 -1.202719788E-001
 1.038800000E-001 -1.180173434E-001
 1.038900000E-001 -1.204330242E-001
 1.039000000E-001 -1.230097505E-001
 1.039100000E-001 -1.204330242E-001
 1.039200000E-001 -1.236539320E-001
 1.039300000E-001 -1.213992966E-001
 1.039400000E-001 -1.278411122E-001
 1.039500000E-001 -1.228487051E-001
 1.039600000E-001 -1.296126115E-001
 1.039700000E-001 -1.286463392E-001
 1.039800000E-001 -1.315451562E-001
 1.039900000E-001 -1.309009747E-001
 1.040000000E-001 -1.328335194E-001
 1.040100000E-001 -1.283242484E-001
 1.040200000E-001 -1.358933818E-001
 1.040300000E-001 -1.352492002E-001
 1.040400000E-001 -1.326724740E-001
 1.040500000E-001 -1.350881548E-001
 1.040600000E-001 -1.394363804E-001
 1.040700000E-001 -1.323503832E-001
 1.040800000E-001 -1.352492002E-001
 1.040900000E-001 -1.391142896E-001
 1.041000000E-001 -1.386311535E-001
 1.041100000E-001 -1.394363804E-001
 1.041200000E-001 -1.450729691E-001
 1.041300000E-001 -1.395974258E-001
 1.041400000E-001 -1.449119238E-001
 1.041500000E-001 -1.486159678E-001
 1.041600000E-001 -1.444287876E-001
