TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.007800000E-001 3.270131336E+000 -5.704736929E+001 1.599293824E+004
 4.007900000E-001 3.270775518E+000 -5.704736929E+001 1.597394441E+004
 4.008000000E-001 3.267554607E+000 -5.705059024E+001 1.597824301E+004
 4.008100000E-001 3.269970290E+000 -5.705059024E+001 1.597649358E+004
 4.008200000E-001 3.270292381E+000 -5.704736929E+001 1.597789312E+004
 4.008300000E-001 3.270292381E+000 -5.704414834E+001 1.597819303E+004
 4.008400000E-001 3.267715653E+000 -5.704736929E+001 1.597519400E+004
 4.008500000E-001 3.270614472E+000 -5.704736929E+001 1.597349455E+004
 4.008600000E-001 3.270453427E+000 -5.705059024E+001 1.597839296E+004
 4.008700000E-001 3.269487153E+000 -5.704736929E+001 1.597494408E+004
 4.008800000E-001 3.271258654E+000 -5.704414834E+001 1.597494408E+004
 4.008900000E-001 3.270292381E+000 -5.705059024E+001 1.598209176E+004
 4.009000000E-001 3.267393561E+000 -5.705059024E+001 1.597584379E+004
 4.009100000E-001 3.269648199E+000 -5.704736929E+001 1.598514077E+004
 4.009200000E-001 3.272063882E+000 -5.704736929E+001 1.597939264E+004
 4.009300000E-001 3.268037744E+000 -5.704736929E+001 1.598634038E+004
 4.009400000E-001 3.267876698E+000 -5.704736929E+001 1.597004567E+004
 4.009500000E-001 3.269004017E+000 -5.705703214E+001 1.597744327E+004
 4.009600000E-001 3.270453427E+000 -5.704092738E+001 1.598549066E+004
 4.009700000E-001 3.272224928E+000 -5.705059024E+001 1.597364450E+004
 4.009800000E-001 3.272224928E+000 -5.705059024E+001 1.597574382E+004
 4.009900000E-001 3.267876698E+000 -5.705059024E+001 1.597659355E+004
 4.010000000E-001 3.271902837E+000 -5.704736929E+001 1.597384444E+004
 4.010100000E-001 3.270936563E+000 -5.704736929E+001 1.597554389E+004
 4.010200000E-001 3.268359835E+000 -5.705703214E+001 1.597864288E+004
 4.010300000E-001 3.267715653E+000 -5.705059024E+001 1.598314142E+004
 4.010400000E-001 3.269809245E+000 -5.705381119E+001 1.598444100E+004
 4.010500000E-001 3.267071470E+000 -5.706025309E+001 1.598704015E+004
 4.010600000E-001 3.267715653E+000 -5.704736929E+001 1.596949585E+004
 4.010700000E-001 3.269004017E+000 -5.705381119E+001 1.597469416E+004
 4.010800000E-001 3.269648199E+000 -5.704736929E+001 1.596674674E+004
 4.010900000E-001 3.267876698E+000 -5.704736929E+001 1.598129202E+004
 4.011000000E-001 3.272224928E+000 -5.705059024E+001 1.596924593E+004
 4.011100000E-001 3.269004017E+000 -5.705059024E+001 1.597574382E+004
 4.011200000E-001 3.273191201E+000 -5.705381119E+001 1.597424431E+004
 4.011300000E-001 3.270131336E+000 -5.704414834E+001 1.597484411E+004
 4.011400000E-001 3.271097609E+000 -5.705059024E+001 1.597549390E+004
 4.011500000E-001 3.269809245E+000 -5.704736929E+001 1.598304145E+004
 4.011600000E-001 3.271419700E+000 -5.704736929E+001 1.597924269E+004
 4.011700000E-001 3.270453427E+000 -5.705703214E+001 1.598339134E+004
 4.011800000E-001 3.272224928E+000 -5.705059024E+001 1.597889280E+004
 4.011900000E-001 3.266266243E+000 -5.704092738E+001 1.597304470E+004
 4.012000000E-001 3.271258654E+000 -5.705703214E+001 1.598699017E+004
 4.012100000E-001 3.269326108E+000 -5.705381119E+001 1.597529397E+004
 4.012200000E-001 3.271097609E+000 -5.705059024E+001 1.598274155E+004
 4.012300000E-001 3.269004017E+000 -5.705381119E+001 1.597209501E+004
 4.012400000E-001 3.271258654E+000 -5.705381119E+001 1.597289475E+004
 4.012500000E-001 3.266749379E+000 -5.705381119E+001 1.597764320E+004
 4.012600000E-001 3.268520880E+000 -5.704736929E+001 1.599078894E+004
 4.012700000E-001 3.269809245E+000 -5.705059024E+001 1.597894278E+004
 4.012800000E-001 3.272063882E+000 -5.704736929E+001 1.597369449E+004
 4.012900000E-001 3.270614472E+000 -5.704092738E+001 1.598219173E+004
 4.013000000E-001 3.271741791E+000 -5.705059024E+001 1.597719335E+004
 4.013100000E-001 3.267715653E+000 -5.704092738E+001 1.598469092E+004
 4.013200000E-001 3.271258654E+000 -5.705703214E+001 1.597159517E+004
 4.013300000E-001 3.270936563E+000 -5.704736929E+001 1.598224171E+004
 4.013400000E-001 3.270936563E+000 -5.705381119E+001 1.597999244E+004
 4.013500000E-001 3.267876698E+000 -5.705381119E+001 1.596629689E+004
 4.013600000E-001 3.271580745E+000 -5.705059024E+001 1.597924269E+004
 4.013700000E-001 3.271419700E+000 -5.705059024E+001 1.598858965E+004
 4.013800000E-001 3.271419700E+000 -5.705381119E+001 1.598159192E+004
 4.013900000E-001 3.270131336E+000 -5.706025309E+001 1.597799309E+004
 4.014000000E-001 3.269326108E+000 -5.705381119E+001 1.597599374E+004
 4.014100000E-001 3.271097609E+000 -5.705703214E+001 1.597719335E+004
 4.014200000E-001 3.269004017E+000 -5.704736929E+001 1.597744327E+004
 4.014300000E-001 3.271580745E+000 -5.705381119E+001 1.598564061E+004
 4.014400000E-001 3.270775518E+000 -5.704736929E+001 1.598474090E+004
 4.014500000E-001 3.270936563E+000 -5.704414834E+001 1.596754648E+004
 4.014600000E-001 3.270775518E+000 -5.705059024E+001 1.597234493E+004
 4.014700000E-001 3.270292381E+000 -5.705381119E+001 1.596729656E+004
 4.014800000E-001 3.269648199E+000 -5.705059024E+001 1.596359777E+004
 4.014900000E-001 3.269970290E+000 -5.704736929E+001 1.596939588E+004
 4.015000000E-001 3.270775518E+000 -5.705381119E+001 1.597489410E+004
 4.015100000E-001 3.270292381E+000 -5.705059024E+001 1.597434428E+004
 4.015200000E-001 3.270775518E+000 -5.705059024E+001 1.598209176E+004
 4.015300000E-001 3.269004017E+000 -5.705381119E+001 1.598279153E+004
 4.015400000E-001 3.270292381E+000 -5.705381119E+001 1.599143873E+004
 4.015500000E-001 3.269165062E+000 -5.704736929E+001 1.597254486E+004
 4.015600000E-001 3.270775518E+000 -5.705381119E+001 1.597219497E+004
 4.015700000E-001 3.272708064E+000 -5.705381119E+001 1.597719335E+004
 4.015800000E-001 3.270453427E+000 -5.705381119E+001 1.597664353E+004
 4.015900000E-001 3.269648199E+000 -5.704736929E+001 1.597179510E+004
